model,level,qwk_mean,qwk_std,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std
dummy,reference,-0.0007079458225747,0.0827074650383079,0.2506380154401534,0.0302139940071664,0.2512061426771463,0.0301214939319791
logistic_regression,basic,0.3748972603013224,0.0656840947600512,0.3819831330349814,0.0351436437195804,0.485077849558689,0.0823472282321754
decision_tree,basic,0.2090551950664035,0.0564822824351755,0.3183912555529176,0.0295736079772822,0.3235255755722707,0.030450421736959
random_forest,intermediate,0.3934855592794828,0.0724834912746879,0.3521359429545642,0.023058409478851,0.3582913319518437,0.0273478922554383
knn,basic,0.2358830890276405,0.0787195203109018,0.2964128785471647,0.0311681573296282,0.3038703977848426,0.0231747258921808
ridge_ordinal,basic,0.3674328846202692,0.0625263803383143,0.3016918021618657,0.0229647914630454,0.3390940623052192,0.019907421501101
svm,intermediate,0.3937164541781041,0.0535101446058734,0.382022205208094,0.0314176240684777,0.428398281842422,0.0544263138049667
lightgbm,advanced,0.3565238872403592,0.0611222870249756,0.3242122742848435,0.0226635057526646,0.3251955473259098,0.0202969018112195
xgboost,advanced,0.3320670833041364,0.0566243156456523,0.324771346693392,0.0209325020105319,0.3256584762103201,0.0179718093878117
naive_bayes,basic,0.1979699315350185,0.088205884201704,0.2511355859103886,0.0602238135156475,0.356514496985516,0.0783977513090707
xgb_regressor,advanced,0.3991357084889332,0.04524329633140486,0.38047719964682286,0.05904833877444108,0.3725928817918692,0.043948337499113324
extratrees_regressor,advanced,0.3683742559102733,0.04439551622054701,0.33184138165254357,0.02764828194245063,0.3347313892051318,0.022203650843893426
regression_vote,advanced,0.38247502992057436,0.0,0.3249152221333743,0.0,0.3306194023014268,0.0
lgbm_regressor,advanced,0.41326518777152,0.04699310853389167,0.3577999712129107,0.040896909482632596,0.35815823409714287,0.03337174408435911
