feature,importance_mean,importance_std
SDS-SDS_Total_T,0.13767620716873596,0.03290038023529997
Basic_Demos-Age,0.09248130892175424,0.02348009736870022
PreInt_EduHx-computerinternet_hoursday,0.05069004060953437,0.024969990001076355
BIA-BIA_LDM,0.02269664437623623,0.021996309661342733
FGC-FGC_SRR,0.018813183450759496,0.01889737245826275
Physical-HeartRate,0.013776084219681295,0.007668261324822589
BIA-BIA_BMC,0.009356877860393775,0.009848439967529888
FGC-FGC_CU,0.008236010186706744,0.012881815050158032
Basic_Demos-Sex,0.008092308541126669,0.016297283900449273
BIA-BIA_SMM,0.007683273152579095,0.01324837838325877
BIA-BIA_BMI,0.007290874588373242,0.012657933583259876
FGC-FGC_PU,0.005247173827805185,0.012637502936243546
FGC-FGC_SRL_Zone,0.004703452662874941,0.0005233847703942751
BIA-BIA_FFM,0.004303669099816854,0.014835226409232613
BIA-BIA_BMR,0.004102282183678929,0.00877656086202771
FGC-FGC_GSND,0.004048462384534901,0.009972247033387706
Physical-Height,0.0036603606075036876,0.012599901627452927
BIA-BIA_Fat,0.002835872028087183,0.009403232990342056
BIA-BIA_Activity_Level_num,0.0028148617583974023,0.005115547475029915
BIA-BIA_TBW,0.002161294189233831,0.008024274923303192
FGC-FGC_SRL,0.0013093283503758046,0.007865782341477058
BIA-BIA_ECW,0.0005239632532074934,0.00906647055666867
BIA-BIA_Frame_num,0.0005165702488770241,0.004975782461475007
FGC-FGC_GSD,0.00048174497632184063,0.009871657371553544
FGC-FGC_GSD_Zone,0.00016262108078908267,0.001509101977644653
FGC-FGC_TL_Zone,0.0,0.0
Physical-Diastolic_BP,-0.00029516889240508435,0.013757250394064165
FGC-FGC_CU_Zone,-0.0006401732199716514,0.0014668893325854755
CGAS-CGAS_Score,-0.0011487704405427346,0.013290870856082847
FGC-FGC_GSND_Zone,-0.0027616581676445317,0.0021407233425568347
Physical-Systolic_BP,-0.0029599537962450516,0.007639424609835274
FGC-FGC_TL,-0.004624075238872816,0.012012691648086297
BIA-BIA_FMI,-0.006624033193238265,0.014568302476852384
Physical-BMI,-0.009338812870108248,0.008614504049105933
Physical-Weight,-0.014268592686090587,0.00867072211364661
